name,tier,categories,type,time,reach,duration,effect
Muddle,2,"Vision, Intel",Active,Default,Caster,Until caster declares any other action,Target becomes invisible and cannot be chosen as a target for attacks.
Martyr's Shield,2,"Mono, Damage, Interrupt, Intel",Active,Interrupt,1 target within 6m,Instant,"When an ally is hit by an attack, you can transfer damage to yourself or any other consenting ally. (Minimum: 50%)"
Limit Breaker,2,"Interrupt, Damage, Intel",Active,Default,All allies,Until the end of caster's next turn,"All targets gain the following ability: Pay 2 counters and spend 2 Energy to gain the effects of Mind Charge (Your next Fire, Ice, Thunder, Wind, Nuclear, PSY, Light, Dark spell that rolls for damage has its damage multiplied by 2.5) OR Power Charge (Your next basic attack or Physical spell that deals damage has its damage multiplied by 2.5)."
Fleeting Vigor,2,"Mono, Energy, Intel",Active,Default,"1 target, even those outside the main combat area",Until the end of combat,"Spend 1 counter. Target receives no penalty for going over their Energy thresholds. At the end of combat, the Energy penalties are reapplied and target takes Almighty Type damage equal to their Energy score below zero multiplied by 10, without testing for dodge or applying any damage reduction effects."
Loquacity,2,"Mono, Negotiation, Quick, Intel",Active,Quick,1 target,Instant,Spend 3 counters. Target can engage in negotiation with any conscious combatant.
Geas,2,"Mono, Action, Interrupt, Intel",Active,Interrupt,1 ally you can see,Until the end of combat,"Spend 2 counters. When an ally deals damage to an Analyzed target, increase that damage by 50%."
Absolute Perception,3,"Unique, Counters, Perception, Intel",Passive,Automatic,Caster,Passive,"At the start of each of your turns, add 3 counters to your party’s Cognitive Counters pool. This cancels the effects of the Perception and Powerful Perception spells."
Analysis Pulse,3,"Quick, Analysis, Counters, Intel",Active,Quick,Caster,Instant,Add the same number of counters added at the start of your turn once more.
Vitals Monitor,3,"Mono, Analysis, Free, Intel",Active,Free,1 target you can see,Permanent,Spend 2 counters. Reveals target’s current HP.
Decipher Techniques,3,"Mono, Analysis, Free, Intel",Active,Free,1 target you can see,Permanent,Spend 2 counters. Reveals all spells on target’s deck.
Cognitive Blank,3,"Mono, Quick, Vision, Intel",Held,Quick,1 target,Permanent,Target becomes invisible and cannot be chosen as a target for attacks or spells. Only 1 target can be affected by this spell at a time. Spend 2 Energy to sustain this effect past the first turn as a Quick action. This cost increases by 1 Energy every subsequent turn.
Murderous Phobia,3,"Mono, Intel",Active,Default,1 target within 6m,Immediate,"Target rolls an attack that deals STRd6 or MAGd6 Intel damage, whichever is higher, against itself."
Limit Breaker+,3,"Charge, Quick, Buff, Intel",Active,Quick,All allies,Permanent,"Spend 4 counters. When caster or an ally declares an attack against an Analyzed target, caster or attacking character can spend 2 Energy to gain the effects of Mind Charge (Your next Fire, Ice, Thunder, Wind, Nuclear, PSY, Light, Dark spell that rolls for damage has its damage multiplied by 2.5) OR Power Charge (Your next basic attack or Physical spell that deals damage has its damage multiplied by 2.5) as a free action for their next attack."
Mind Shackle,3,"Mono, Vision, Intel",Active,Default,1 target within 6m,Permanent,"Surrounds target by an illusion representing something target fears or cannot move past. Target takes MAGd6 or STRd6 Intel damage, whichever is higher, if target moves from its original position naturally. At the end of each of caster’s turns, target has 33% chance of recovering, dissipating the effect."
Cognitive Genesis,3,"Realized, Intel",Active,Default,1 empty space caster can see,Permanent,"Creates an intangible inanimate object that the caster has seen before, and occupies up to 2 empty spaces in any configuration. The physical properties of this object are based on the real equivalent, but it has HP equal to 0 HP and 0 AGI for the purposes of damage calculation. The item possesses limited capabilities: Equipment created by this spell cannot grant any benefits to a character wielding it; Damage dealt by these objects when used as weapons are considered the damage of caster’s unarmed attack; consumables created by this spell do not grant any effects to its users. Items created by this spell and destroyed by any means disappear completely."
Terrifying Projection,3,"Mind, Fearful, Status, Intel",Active,Default,Any # of targets you can become adjacent to during your movement,Caster's movement,Chance of Fearful: 15+5TEC%. Perform your full movement action while casting this spell.
Eyes of Prometheus,5,"Unique, Perception, Counters, Intel",Passive,Automatic,Caster,Passive,"At the start of each of your turns, add 4 counters to your party’s Cognitive Counters pool. This cancels the effects of the Perception, Powerful Perception and Absolute Perception spells."
Reveal Weakness,5,"Mono, Analysis, Free, Intel",Active,Free,1 target you can see,Permanent,Spend 5 counters. Reveal all target’s elemental interactions.
Precognition,5,"Free, Repress, Intel",Active,Free,Any # of targets you can see,The next 5 attacks declared against affected targets,"Repress, spend 1 Energy and 6 counters. The following 5 dodge checks performed by target allies are automatically considered as the maximum possible dice roll. Spend 3 Energy to apply this effect to each subsequent attack past the fifth."
Cling to Life,1,"Mono, Revive, Interrupt, Defense",Active,Interrupt,1 target,Instant,"If the target would be reduced to 0 or less HP during this turn, heal them to 1 HP. Penalties from entering Death’s Door still apply, but other effects do not. Each User can only benefit from this once per round."
Resist Fire,1,"Resist, Defense",Active,Interrupt,Caster,Instant,Grants Resist Fire for the duration of this turn
Resist Ice,1,"Resist, Defense",Active,Interrupt,Caster,Instant,Grants Resist Ice for the duration of this turn
Resist Thunder,1,"Resist, Defense",Active,Interrupt,Caster,Instant,Grants Resist Thunder for the duration of this turn
Resist Wind,1,"Resist, Defense",Active,Interrupt,Caster,Instant,Grants Resist Wind for the duration of this turn
Resist Psychokinesis,1,"Resist, Defense",Active,Interrupt,Caster,Instant,Grants Resist Psychokinesis for the duration of this turn
Resist Nuclear,1,"Resist, Defense",Active,Interrupt,Caster,Instant,Grants Resist Nuclear for the duration of this turn
Resist Light,1,"Resist, Defense",Active,Interrupt,Caster,Instant,Grants Resist Light for the duration of this turn
Resist Dark,1,"Resist, Defense",Active,Interrupt,Caster,Instant,Grants Resist Dark for the duration of this turn
Null Fire,2,"Null, Defense",Active,Interrupt,Caster,Instant,Grants Null Fire for the duration of this turn.
Null Ice,2,"Null, Defense",Active,Interrupt,Caster,Instant,Grants Null Ice for the duration of this turn.
Null Thunder,2,"Null, Defense",Active,Interrupt,Caster,Instant,Grants Null Thunder for the duration of this turn.
Null Wind,2,"Null, Defense",Active,Interrupt,Caster,Instant,Grants Null Wind for the duration of this turn.
Null Psychokinesis,2,"Null, Defense",Active,Interrupt,Caster,Instant,Grants Null Psychokinesis for the duration of this turn.
Null Nuclear,2,"Null, Defense",Active,Interrupt,Caster,Instant,Grants Null Nuclear for the duration of this turn.
Null Light,2,"Null, Defense",Active,Interrupt,Caster,Instant,Grants Null Light for the duration of this turn.
Null Dark,2,"Null, Defense",Active,Interrupt,Caster,Instant,Grants Null Dark for the duration of this turn.
Fire Wall,2,"Mono, Resist, Defense",Active,Interrupt,1 target,Instant,Grants Resist Fire for the duration of the turn
Ice Wall,2,"Mono, Resist, Defense",Active,Interrupt,1 target,Instant,Grants Resist Ice for the duration of the turn
Thunder Wall,2,"Mono, Resist, Defense",Active,Interrupt,1 target,Instant,Grants Resist Thunder for the duration of the turn
Wind Wall,2,"Mono, Resist, Defense",Active,Interrupt,1 target,Instant,Grants Resist Wind for the duration of the turn
Psychokinesis Wall,2,"Mono, Resist, Defense",Active,Interrupt,1 target,Instant,Grants Resist Psychokinesis for the duration of the turn
Nuclear Wall,2,"Mono, Resist, Defense",Active,Interrupt,1 target,Instant,Grants Resist Nuclear for the duration of the turn
Light Wall,2,"Mono, Resist, Defense",Active,Interrupt,1 target,Instant,Grants Resist Light for the duration of the turn
Dark Wall,2,"Mono, Resist, Defense",Active,Interrupt,1 target,Instant,Grants Resist Dark for the duration of the turn
Karn Breaker,2,"Mono, Karn, Defense",Active,Interrupt,1 target,Instant,Remove all effects of Karn Category spells from the target.
Evade Fire,2,"Evade, Unique, Defense",Passive,Automatic,Caster,Passive,DDC+1 against the selected element.
Evade Ice,2,"Evade, Unique, Defense",Passive,Automatic,Caster,Passive,DDC+1 against the selected element.
Evade Thunder,2,"Evade, Unique, Defense",Passive,Automatic,Caster,Passive,DDC+1 against the selected element.
Evade Wind,2,"Evade, Unique, Defense",Passive,Automatic,Caster,Passive,DDC+1 against the selected element.
Evade Psychokinesis,2,"Evade, Unique, Defense",Passive,Automatic,Caster,Passive,DDC+1 against the selected element.
Evade Nuclear,2,"Evade, Unique, Defense",Passive,Automatic,Caster,Passive,DDC+1 against the selected element.
Evade Light,2,"Evade, Unique, Defense",Passive,Automatic,Caster,Passive,DDC+1 against the selected element.
Evade Dark,2,"Evade, Unique, Defense",Passive,Automatic,Caster,Passive,DDC+1 against the selected element.
Reflect Fire,3,"Reflect, Defense",Active,Interrupt,Caster,Instant,Grants Reflect Fire  for the rest of this turn
Reflect Ice,3,"Reflect, Defense",Active,Interrupt,Caster,Instant,Grants Reflect Ice for the rest of this turn
Reflect Thunder,3,"Reflect, Defense",Active,Interrupt,Caster,Instant,Grants Reflect Thunder for the rest of this turn
Reflect Wind,3,"Reflect, Defense",Active,Interrupt,Caster,Instant,Grants Reflect Wind for the rest of this turn
Reflect Psychokinesis,3,"Reflect, Defense",Active,Interrupt,Caster,Instant,Grants Reflect Psychokinesis for the rest of this turn
Reflect Nuclear,3,"Reflect, Defense",Active,Interrupt,Caster,Instant,Grants Reflect Nuclear for the rest of this turn
Reflect Light,3,"Reflect, Defense",Active,Interrupt,Caster,Instant,Grants Reflect Light for the rest of this turn
Reflect Dark,3,"Reflect, Defense",Active,Interrupt,Caster,Instant,Grants Reflect Dark for the rest of this turn
Drain Fire,3,"Drain, Defense",Active,Interrupt,Caster,Instant,Grants Drain Fire for the rest of this turn
Drain Ice,3,"Drain, Defense",Active,Interrupt,Caster,Instant,Grants Drain Ice for the rest of this turn
Drain Thunder,3,"Drain, Defense",Active,Interrupt,Caster,Instant,Grants Drain Thunder for the rest of this turn
Drain Wind,3,"Drain, Defense",Active,Interrupt,Caster,Instant,Grants Drain Wind for the rest of this turn
Drain Psychokinesis,3,"Drain, Defense",Active,Interrupt,Caster,Instant,Grants Drain Psychokinesis for the rest of this turn
Drain Nuclear,3,"Drain, Defense",Active,Interrupt,Caster,Instant,Grants Drain Nuclear for the rest of this turn
Drain Light,3,"Drain, Defense",Active,Interrupt,Caster,Instant,Grants Drain Light for the rest of this turn
Drain Dark,3,"Drain, Defense",Active,Interrupt,Caster,Instant,Grants Drain Dark for the rest of this turn
Fire Barrier,3,"Mono, Null, Defense",Active,Interrupt,1 target,Instant,Grants Null Fire for the rest of this turn
Ice Barrier,3,"Mono, Null, Defense",Active,Interrupt,1 target,Instant,Grants Null Ice for the rest of this turn
Thunder Barrier,3,"Mono, Null, Defense",Active,Interrupt,1 target,Instant,Grants Null Thunder for the rest of this turn
Wind Barrier,3,"Mono, Null, Defense",Active,Interrupt,1 target,Instant,Grants Null Wind for the rest of this turn
Psychokinesis Barrier,3,"Mono, Null, Defense",Active,Interrupt,1 target,Instant,Grants Null Psychokinesis for the rest of this turn
Nuclear Barrier,3,"Mono, Null, Defense",Active,Interrupt,1 target,Instant,Grants Null Nuclear for the rest of this turn
Light Barrier,3,"Mono, Null, Defense",Active,Interrupt,1 target,Instant,Grants Null Light for the rest of this turn
Dark Barrier,3,"Mono, Null, Defense",Active,Interrupt,1 target,Instant,Grants Null Dark for the rest of this turn
Fire Ward,5,"Mono, Reflect, Defense",Active,Interrupt,1 target,Instant,Grants Reflect Fire for the rest of this turn
Ice Ward,5,"Mono, Reflect, Defense",Active,Interrupt,1 target,Instant,Grants Reflect Ice for the rest of this turn
Thunder Ward,5,"Mono, Reflect, Defense",Active,Interrupt,1 target,Instant,Grants Reflect Thunder for the rest of this turn
Wind Ward,5,"Mono, Reflect, Defense",Active,Interrupt,1 target,Instant,Grants Reflect Wind for the rest of this turn
Psychokinesis Ward,5,"Mono, Reflect, Defense",Active,Interrupt,1 target,Instant,Grants Reflect Psychokinesis for the rest of this turn
Nuclear Ward,5,"Mono, Reflect, Defense",Active,Interrupt,1 target,Instant,Grants Reflect Nuclear for the rest of this turn
Light Ward,5,"Mono, Reflect, Defense",Active,Interrupt,1 target,Instant,Grants Reflect Light for the rest of this turn
Dark Ward,5,"Mono, Reflect, Defense",Active,Interrupt,1 target,Instant,Grants Reflect Dark for the rest of this turn
Fire Sanctuary,5,"Mono, Drain, Defense",Active,Interrupt,1 target,Instant,Grants Drain Fire for the rest of this turn
Ice Sanctuary,5,"Mono, Drain, Defense",Active,Interrupt,1 target,Instant,Grants Drain Ice for the rest of this turn
Thunder Sanctuary,5,"Mono, Drain, Defense",Active,Interrupt,1 target,Instant,Grants Drain Thunder for the rest of this turn
Wind Sanctuary,5,"Mono, Drain, Defense",Active,Interrupt,1 target,Instant,Grants Drain Wind for the rest of this turn
Psychokinesis Sanctuary,5,"Mono, Drain, Defense",Active,Interrupt,1 target,Instant,Grants Drain Psychokinesis for the rest of this turn
Nuclear Sanctuary,5,"Mono, Drain, Defense",Active,Interrupt,1 target,Instant,Grants Drain Nuclear for the rest of this turn
Light Sanctuary,5,"Mono, Drain, Defense",Active,Interrupt,1 target,Instant,Grants Drain Light for the rest of this turn
Dark Sanctuary,5,"Mono, Drain, Defense",Active,Interrupt,1 target,Instant,Grants Drain Dark for the rest of this turn
Makarakarn,5,"Mono, Reflect, Karn, Defense",Active,Interrupt,1 target,1 turn,Spend 1 Energy. Grants Reflect Element and Status for the next attack of the stated Types declared against the target.
Tetrakarn,5,"Mono, Reflect, Karn, Defense",Active,Interrupt,1 target,1 turn,Grants Reflect Physical for the next Physical attack declared against the target.
Counter,1,"Unique, Counter",Passive,Automatic,Caster,Passive,Counter (30%)
Cruel Advance,1,"Unique, Critical",Passive,Automatic,Caster,Passive,Critical Margin +1 (Automatically added)
Prediction,1,"Unique, Intel, Luck",Passive,Automatic,Caster,Passive,"Gain 3 extra Luck Charges at the start of combat. Once per day, caster can spend 1 Luck Charge to re-roll any check they performed, however the caster is forced to keep the second roll."
Magnificent Wings,1,"Unique, Movement",Passive,Automatic,Caster,Passive,"Grants +3 AGI for the purposes of movement distance, including for spells cast during or requiring movement. (Automatically added)"
Intoxicating Aura,1,"Unique, Status",Passive,Automatic,Caster,Passive,Caster can choose to activate secondary effects of their attacks before damage calculation.
Blade of the Phantasm,1,Boost,Active,Default,Caster,3 turns,Spend 2 Energy. Caster can use MAG instead of STR for all relevant checks
Thermopylae,1,"Unique, Enraged, Mind, Status",Passive,Automatic,Caster,Passive,Caster becomes immune to the HDC reduction effect of Enraged.
Blessing,1,"Mono, Unique, Dodge, Luck",Active,Interrupt,1 enemy who dodged your attack this turn,Instant,Spend 1 Luck Charge. Target is forced to re-roll dodge for one of your attacks.
Deadly Dread,1,"Unique, Fearful, Death",Passive,Automatic,Caster,Passive,Caster’s attacks gain Critical (STR10/2) +10 when declaring attacks against Fearful targets.
Electric Slide,1,"Unique, Thunder, Movement",Active,Default,Caster or 1 adjacent ally,Instant,Target moves up to 3 spaces in any direction. All enemies within 3 meters of target during its movement are dealt MAG Thunder damage (does not grant a dodge check).
Hailstorm,1,"Unique, Buff, Ice",Active,Default,Caster and any # of targets within 3m,End of caster's next turn,Caster and all allied targets receive +MAG extra Ice damage to all attacks declared until the end of caster’s next turn. Slowed chance: 60+5TEC% to all enemy targets.
Rain of Fire,1,"Unique, Buff, Fire",Held,Default,Any # of targets within 5m,See Effect,Allied targets gain Resist Fire until the end of caster’s next turn. Deal MAG Fire damage to each enemy target at the end of each enemy’s turn for the same duration. Spend 2 Energy: Extend the effect of this spell as a free action.
Wind Tunnel,1,"Unique, Wind, Movement",Active,Default,Caster or 1 adjacent ally,Instant,Target moves up to 3 spaces in any direction. All enemies within 2 meters of target during its movement are pushed up to 2 spaces away.
Seize the Crown,2,"Mono, Death",Active,Interrupt,1 target,Instant,"When an ally defeats a Shadow in combat, the caster of this spell is considered the killer. This effect triggers any passive skills on the caster and cancels effects on the original slayer. Additionally, this effect grants the Receptive Cognition effect for Emergent Users. If the original cause of death kills more than one Shadow, you may spend 1 Aspect Point to apply this spell’s effect to all defeated targets."
Power Charge,2,"Damage, Charge",Active,Default,Caster,Caster's next attack,Multiply the damage of your next basic attack or Physical spell by 2.5. This does not stack with any other Charge Category effects.
Mind Charge,2,"Damage, Charge",Active,Default,Caster,Caster's next attack,"Multiply the damage of your next Fire, Ice, Wind, Thunder, Nuclear, PSY, Light or Dark spell that rolls for damage by 2.5. This does not stack with any other Charge Category effects."
Despair,2,"Buff, Debuff, Quick",Active,Quick,Caster,End of caster's next turn,"+2 STR, +2 MAG. +2 TEC, -3 AGI, Fortify All -4, -2 LCK"
Challenge,2,"Enraged, Mind, Combo, Status",Active,Default,Caster and 1 target within 6m,Until healed,Chance of Enraged: 65%. Caster can opt to fail this test
Hyper-Counter,2,Counter,Passive,Automatic,Caster,Passive,Counter (50%). Cancels the effects of lower tier Counter effects.
Reversal,2,"Unique, Counter",Passive,Automatic,Caster,Passive,"Counter (30%). Instead of declaring a basic attack when this effect triggers, you may cast one damage-dealing Physical Type spell from your deck. Interacts with Reversal: 30% chance of triggering Hyper-Counter, 20% chance of triggering Reversal, 50% chance of nothing happening. Cancels the effects of lower tier Counter effects."
Blessing of the Styx,2,"Unique, Raku",Passive,Automatic,Caster,Passive,Fortify Physical 5
Glaucus's Comprehension,2,"Unique, Heal, Mind",Passive,Automatic,Caster,Passive,Increases chances of naturally recovering from Mind effects to 50%
Magnificent Wings+,2,"Unique, Movement",Passive,Automatic,Caster,Passive,Caster gains +2 AGI for determining movement (Automatically added). Movement can ignore obstacles and elevation up to the User’s height.
Guiding Hand,2,"Mono, Unique, Dodge, Luck",Active,Interrupt,1 ally checking dodge,Instant,"Spend 1 Luck Charge. Target can re-roll their current dodge check, obligatorily choosing the second result"
High Noon,2,"Mono, Unique, Dodge, Luck",Active,Interrupt,1 target who dodged an attack this turn,Instant,Spend 1 Luck Charge. Forces target to re-roll their dodge check against any User’s attack.
Castling,2,"Interrupt, Movement",Active,Interrupt,1 target within 2m,Instant,Spend 1 Luck Charge. Caster is moved to target’s position and target is moved to caster’s position.
Power Charge+,3,"Quick, Damage",Active,Quick,Caster,Caster's next attack,Multiply the damage of your next basic attack or Physical spell by 2.5. This does not stack with any other Charge Category effects.
Mind Charge+,3,"Quick, Damage",Active,Quick,Caster,Caster's next attack,"Multiply the damage of your next Fire, Ice, Wind, Thunder, Nuclear, PSY, Light or Dark spell that rolls for damage by 2.5. This does not stack with other Charge Category effects."
Zanshin,3,"Unique, Repress, Buff",Passive,Automatic,Caster,Passive,Fortify All 0 (Equal to the number of currently Repressed spells in caster’s deck.)
High Counter,3,"Unique, Counter",Passive,Automatic,Caster,Passive,Counter (70%). Cancels the effects of lower tier Counter effects.
Hyper-Reversal,3,"Unique, Counter",Passive,Automatic,Caster,Passive,"Counter (50%). Instead of declaring a basic attack when this effect triggers, you may cast one damage- dealing Physical Type spell from your deck. Interacts with High Counter: 50% chance of triggering Hyper-Reversal, 20% chance of triggering High Counter, 30% chance of nothing happening. Cancels the effects of lower Tier Counter spells."
Leadership,3,"Unique, Mind, Status",Passive,Automatic,Caster and all allies,Passive,All targets have 50% chance of recovering from Mind effects at the end of their turns
The Other Cheek,3,Unique,Passive,Automatic,Caster,Passive,"If equipping this Persona would be a default action, it becomes a Quick action instead. If equipping this Persona would be a Quick action, it becomes a Free action instead."
Serrated Blade,3,"Mono, Mark",Held,Default,1 target caster can see,Until the end of the caster's next turn,Target deals +3MAG bonus Almighty damage with all their attacks. Spend 2 Energy: Extend this effect as a Quick action at the start of your next turn.
Quantum Drift,3,"Mono, Quick, Movement",Active,Quick,1 alley caster can see,Instant,Target is moved up to 5m in any direction.
Perfect Reversal,5,"Unique, Counter",Passive,Automatic,Caster,Passive,"Counter (70%). Instead of declaring a basic attack when this effect triggers, you may cast one damage-dealing damage-dealing Physical Type spell from your deck. Cancels the effects of all other Counter spells."
Last Legion,5,"Mono, Movement, Raku",Active,Interrupt,1 ally within 4m,Instant,Caster changes positions with target and receives any damage target would receive this turn. Caster gains Fortify All 5MAG against the next attack rolled this turn
Enlightenment,5,Repress,Active,Default,Caster,Instant,"Restores up to six spell uses, including Repressed spells, Tier III or below."
Aqua,1,"Mono, Ice, Water, Imbue",Active,Default,1 target within 8m,Instant,Hit: MAG6 Ice damage. Imbue: Restores 1 HP to the target.
Ha Aqua,1,"Multi, Ice, Water, Imbue",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG4 Ice damage. Imbue: Target gains +1 DR until the end of their turn. This is not considered a Buff effect.
Malaqua,1,"Total, Ice, Water, Imbue",Active,Default,Any # of targets the caster can see,Instant,Hit: MAG4-5 Ice damage. Imbue: Remove one Debuff or Status effect from the target.
Aques,2,"Mono, Ice, Water, Imbue",Active,Default,1 target within 8m,Instant,Hit: MAG8 Ice damage. Imbue: Restores 2 HP to the target.
Ha Aques,2,"Multi, Ice, Water, Imbue",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG4+8 Ice damage. Imbue: Target gains +2 DR until the end of their turn. This is not considered a Buff effect.
Malaques,2,"Total, Ice, Water, Imbue",Active,Default,Any # of targets you can see,Instant,Hit: MAG4 Ice damage. Imbue: Remove up to two Status effects from the target and target receives Resist Status until the end of your next turn.
Aquadyne,3,"Mono, Ice, Water, Imbue",Active,Default,1 target within 8m,Instant,"Hit: MAG10 Ice damage. Imbue: Restores 2 HP to the target. This spell can target Users in Death’s Door. If you do, this revives them with 50% HP, then apply the original effect of this spell."
Ha Aquadyne,3,"Multi, Ice, Water, Imbue",Active,Default,Up to 3 targets within 7m,Instant,"Hit: MAG6+MAG Ice damage. Choose one of the following: 1) Imbue: Target gains +3 DR until the end of their turn. This is not considered a Buff effect. OR 2) Imbue: When you cast this spell, choose one Damage Type. Target gains Fortify <your chosen Type> +6 until the end of their turn. This is not considered a Buff effect."
Malaquadyne,3,"Total, Ice, Water, Imbue",Active,Default,Any # of targets the caster can see,Instant,Hit: MAG4+6 Ice damage. Choose one of the following: 1) Imbue: Remove one Status effect from the target. That target cannot suffer that Status effect for the next 3 rounds. OR 2) Imbue: Remove one Debuff effect from the target and choose one Combat Skill: Checks made with that Skill ignore Debuff effects for the next 3 rounds.
Bloody Honeymoon,5,"Mono, Ice, Water, Imbue, Unique, Repress",Active,Default,1 target within 8m,Instant,Hit: MAG10 Ice damage. Imbue: Target recovers one spell use of Tier III or below. Repress to add the following effect to the Imbue: This can include Repressed spells.
Magna,1,"Mono, Fire, Earth, Duel, Debuff",Active,Default,1 target within 8m,Instant,Hit: STR6 Fire damage. Dueling: Reduce your Duel target’s movement allowance by half.
Ha Magna,1,"Multi, Fire, Earth, Duel, Debuff",Active,Default,Up to 3 targets within 7m,Instant,"Hit: STR4 Fire damage. Dueling: Your Dueling target suffers Fortify <Physical, Fire> -2."
Ma Magna,1,"Total, Fire, Earth, Duel, Debuff",Active,Default,Any # of targets you can see,Instant,Hit: STR4-5 Fire damage. Dueling: The target suffers a -1 AGI penalty to dodge checks against attacks and spells you declare.
Magnara,2,"Mono, Fire, Earth, Duel, Move",Active,Default,1 target within 8m,Instant,Hit: STR8 Fire damage. Dueling: Move your Duel target up to 4m towards you.
Ha Magnara,2,"Multi, Fire, Earth, Duel, Debuff",Active,Default,Up to 3 targets within 7m,Instant,"Hit: STR4+8 Fire damage. Dueling: Your Duel target suffers Fortify <Physical, Fire> -STR."
Ma Magnara,2,"Total, Fire, Earth, Duel, Debuff",Active,Default,Any # of targets you can see,Instant,Hit: STR4 Fire damage. Dueling: The target’s AGI is halved to roll dodge against the next attack or spell you declare against them.
Magnadyne,3,"Mono, Fire, Earth, Duel, Move",Active,Default,1 target within 8m,Instant,"Hit: STR10 Fire damage. Choose one of the following: 1) Dueling: Move yourself to an unoccupied position adjacent to your Duel target as a Free action. OR 2) Dueling: Move your Duel target to an unoccupied position adjacent to you, and it cannot declare a movement action until the end of your next turn."
Ha Magnadyne,3,"Multi, Fire, Earth, Duel, Debuff",Active,Default,Up to 3 targets within 7m,Instant,"Hit: STR6+STR Fire damage. Dueling: Your Duel target’s Physical or Fire interaction (your choice) is downgraded by one category. You can Repress this spell to add the following effect to the above: “If the target’s interaction is Neutral, downgrade it to Weakness”. (Drain – Reflect – Null – Resist – Neutral)"
Ma Magnadyne,3,"Total, Fire, Earth, Duel, Debuff",Active,Default,Any # of targets you can see,Instant,Hit: STR4+6 Fire damage. Choose one of the following: 1) Dueling: Your Duel target suffers -2 DDC for the next attack you declare against them. OR 2) Dueling: The next attack you declare against a Duel target gains Critical Margin +2.
Magma Drop,5,"Mono, Fire, Earth, Duel, Repress",Active,Default,1 target within 8m,Instant,"STR10 Fire damage. Repress to add: Dueling: Every time your Duel target takes damage, they take an extra STR4 Fire damage."
Anger of the Earth,5,"Mono, Fire, Earth, Duel, Combo",Active,Default,1 target within 8m,Instant,"STR12+STR Fire damage. Dueling: You can cast a Tier III or lower Mono Category Earth spell in your deck, targeting your Duel target, as a Quick action."
Makatora,0,"Navi, Heal, Unique",Active,Default,1 ally within 8m,Instant,Spend X Energy. Restore target’s Energy by X.
Regenerate,0,"Navi, Heal, Unique",Passive,Passive,Caster,Permanent,"At the end of combat, if your HP is below 100% but above 0, restore up to 20% of your maximum HP."
Invigorate,0,"Navi, Heal",Passive,Passive,Caster,Permanent,"At the end of combat, if your Energy is below its maximum value, you may spend 1 Aspect Point to restore 1d4 Energy."
Into the Void,0,"Navi, Null, Interrupt, Unique",Active,Interrupt,1 ally within 9m,Instant,Spend 4 Cognitive Counters. Target ally gains Null <All> against the next attack this round. You can only cast Into the Void once per combat.
Zero Set,0,"Navi, Unique",Active,Default,1 ally within 6m,Instant,Spend 4 Counters or 4 Energy. Target’s next spell has no generic Energy costs. Spell-specific costs still apply.
Position Hack,0,"Navi, Initiative",Active,Default,Any # of targets within 8m,Instant,"Spend X Counters. For each Counter spent, change the position of 1 target in the initiative queue. These changes take effect at the start of the next round."
Encore,0,"Navi, Buff, Debuff",Active,Default,Any # of targets within 8m,Instant,Spend 1 Counter per selected target. Add 3 rounds to the duration of any one Buff or Debuff effect on each target.
Idol's Insight,0,"Navi, Intel, Analysis",Active,Automatic,Any # of targets you can see,Instant,"At the start of combat, you may spend 1 Energy to reveal an elemental interaction of the target. You may spend extra Energy to reveal more interactions or choose more targets."
Oracle,0,"Navi, Heal, Buff, Debuff, Repress",Active,Default,Special,Instant,"Roll 1dSTR (roll 1d10 for the tens, then 1d10 for the unit) and apply the appropriate effect according to the two-part table listed under ""Oracle Table"" in the Category Lookup. Repress this spell."
Gather the Stars,1,"Cosmic, Star",Active,Default,Caster,Instant,Gain 1 Star.
Candra,1,"Mono, Nuclear, Cosmic",Active,Default,1 target within 8m,Instant,Hit: MAG6 Nuclear damage. Spend 1 Star: +1 HDC
Hacandra,1,"Multi, Nuclear, Cosmic",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG4 Nuclear damage. Spend 1 Star to Burst: 2MAG Nuclear damage.
Macandra,1,"Area, Nuclear, Cosmic",Active,Default,1 target within 7m and any adjacent to it,Instant,Hit: MAG4-4 Nuclear damage. Spend 1 Star: Increase the area of damage by 1 meter.
Galactic Gleam,2,"Cosmic, Star",Active,Quick,Caster,Instant,Gain 1 Star.
Candrala,2,"Mono, Nuclear, Cosmic",Active,Default,1 target within 8m,Instant,"Hit: MAG8 Nuclear damage. Spend 1 Star: If this spell defeats the target, recover 1 Energy."
Hacandrala,2,"Multi, Nuclear, Cosmic",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG4+MAG Nuclear damage. Spend 1 Star to Burst: 2MAG Nuclear damage.
Macandrala,2,"Area, Nuclear, Cosmic",Active,Default,1 target within 7m and any # of units within 2m of it,Instant,"Hit: MAG4 Nuclear damage. Spend 1 Star: For each target that fails the dodge check for this spell, this spell deals +MAG Nuclear damage"
